ifc_type                  , category              , family_name                                 , kbims_code  , pps_code                                                         , family                                                                                                                              , type                                                                                                                                , type_id
IfcIfcWall                , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 600mm_DW1                                                                                                 , 7626629
IfcIfcFurnishingElement   , 가구                  , FN322-사무용 책상 세트 1인(아크릴) Type 1   , E81         , APA                                                              , FN322-사무용 책상 세트 1인(아크릴) Type 1                                                                                           , FN322-사무용 책상 세트 1인(아크릴) Type 1 1444x1500x1220                                                                            , 6321600
IfcIfcWallStandardCase    , 벽                    , 기본 벽                                     , E275        , AD                                                               , 기본 벽                                                                                                                             , WA111-철근콘크리트구조 벽 200mm_W2                                                                                                  , 7625935
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG3_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG3_400 x 500                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_RG3_400 x 500
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AD                                                               , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500                                                                                      , Basic Wall: WA110-철근콘크리트구조 벽_BW3_T500
IfcIfcBeam                , 구조 프레임           , BM111-철근콘크리트구조 보                   , E23         , AD                                                               , BM111-철근콘크리트구조 보                                                                                                           , BM110-철근 콘크리트구조 보_400 x 400_2-10G10                                                                                        , 7669423
IfcIfcWall                , 벽                    , 기본 벽                                     , E24         , AMB161A+AD                                                       , 기본 벽                                                                                                                             , (복합)WA111(200_CW1)+WA313_철콘+화강석잔다듬                                                                                        , 7719098
IfcIfcRamp                , 바닥                  , 바닥                                        , E275        , AD                                                               , 바닥                                                                                                                                , RP111-철근콘크리트구조 램프 (직선형) 200mm                                                                                          , 7468692
IfcIfcWindow              , 창                    , WD733-그릴창(알루미늄)                      , E334        , ALB167900000                                                     , WD733-그릴창(알루미늄)                                                                                                              , WD733-그릴창(알루미늄)_600x800mm                                                                                                    , 7459609
IfcIfcDoor                , 문                    , "DR121-쌍여닫이문(철재, 방화문)"            , E333        , ALA110300000                                                     , "DR121-쌍여닫이문(철재, 방화문)"                                                                                                    , "DR121-쌍여닫이문(철재, 방화문) 1800x2100mm"                                                                                        , 7435628
IfcIfcWallStandardCase    , Walls                 , Basic Wall                                  , E24         , AMA112C+AGA114400000                                             , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"
IfcIfcColumn              , Structural Columns    , CL111-철근콘크리트구조 기둥 (각형)          , E22         , AD                                                               , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_RC5_300x300                                                  , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_RC5_300x300                                                  , CL111-철근콘크리트구조 기둥 (각형): CL111-철근콘크리트구조 기둥 (각형)_RC5_300x300
IfcIfcFurnishingElement   , Furniture             , PF591-대변기용 장애인 손잡이(T자 고정식)    , E713        , APA18                                                            , PF591-대변기용 장애인 손잡이(T자 고정식): PF591-대변기용 장애인 손잡이(T자 고정식)                                                  , PF591-대변기용 장애인 손잡이(T자 고정식): PF591-대변기용 장애인 손잡이(T자 고정식)                                                  , PF591-대변기용 장애인 손잡이(T자 고정식): PF591-대변기용 장애인 손잡이(T자 고정식)
IfcIfcBeam                , Structural Framing    , BM110-철근콘크리트구조 보                   , E23         , AD                                                               , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B5_400 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B5_400 x 800                                                                 , BM110-철근콘크리트구조 보: BM110-철근 콘크리트구조 보_1B5_400 x 800
IfcIfcWall                , Walls                 , Basic Wall                                  , E24         , AMA112C+AGA114400000                                             , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"                                                                          , "Basic Wall: A1-33-01B-시멘트 모르타르, 도기질타일 (30mm)"
